id,active,type,product_tmpl_id/id,product_qty,product_uom_id/id,sequence,ready_to_produce,picking_type_id/id,company_id/id,consumption,produce_delay,days_to_prepare_mo,version,x_studio_bom_total_material_cost,x_studio_currency_id/id,x_studio_last_updated_date_cost
mrp_bom_id_689,1,normal,Jinasena_MasterData_Stock.product_template_final_ass_y_js_25e,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_690,1,normal,Jinasena_MasterData_Stock.product_template_auxiliary_chasse_beam_l_2,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_691,1,normal,Jinasena_MasterData_Stock.product_template_main_frame_beam_s,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_692,1,normal,Jinasena_MasterData_Stock.product_template_beam_vertical_1,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_695,1,normal,Jinasena_MasterData_Stock.product_template_motor_bracket_330461,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_696,1,normal,Jinasena_MasterData_Stock.product_template_motor_mounting_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_697,1,normal,Jinasena_MasterData_Stock.product_template_hinge_pin,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_698,1,normal,Jinasena_MasterData_Stock.product_template_hing_bush,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_699,1,normal,Jinasena_MasterData_Stock.product_template_locking_bushes,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_700,1,normal,Jinasena_MasterData_Stock.product_template_locking_pin,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
